date,region,sales_rep,product,units_sold,unit_price_gbp,discount_rate,channel
2026-08-03,North,Aisha Khan,Laptop Stand,12,34.99,0.0,Online
2026-08-03,South,Ben Carter,USB-C Hub,18,49.5,0.1,Online
2026-08-04,North,Aisha Khan,Wireless Mouse,25,24.99,0.0,Retail
2026-08-04,West,Chloe Martin,Laptop Stand,9,34.99,0.0,Retail
2026-08-05,South,Ben Carter,Wireless Mouse,30,24.99,0.05,Online
2026-08-05,East,Daniel Reed,USB-C Hub,14,49.5,0.0,Online
2026-08-06,North,Aisha Khan,USB-C Hub,11,49.5,0.0,Retail
2026-08-06,West,Chloe Martin,Wireless Mouse,22,24.99,0.0,Online
2026-08-07,East,Daniel Reed,Laptop Stand,16,34.99,0.1,Retail
2026-08-07,South,Ben Carter,Laptop Stand,13,34.99,0.0,Retail
2026-08-10,North,Aisha Khan,Wireless Mouse,28,24.99,0.05,Online
2026-08-10,West,Chloe Martin,USB-C Hub,17,49.5,0.0,Retail
2026-08-11,East,Daniel Reed,Wireless Mouse,27,24.99,0.0,Online
2026-08-11,South,Ben Carter,USB-C Hub,15,49.5,0.0,Online
2026-08-12,North,Aisha Khan,Laptop Stand,10,34.99,0.0,Retail
2026-08-12,West,Chloe Martin,Laptop Stand,8,34.99,0.15,Online
2026-08-13,East,Daniel Reed,USB-C Hub,19,49.5,0.05,Retail
2026-08-13,South,Ben Carter,Wireless Mouse,24,24.99,0.0,Retail
2026-08-14,North,Aisha Khan,USB-C Hub,13,49.5,0.0,Online
2026-08-14,West,Chloe Martin,Wireless Mouse,21,24.99,0.0,Retail
2026-08-17,East,Daniel Reed,Laptop Stand,15,34.99,0.0,Online
2026-08-17,South,Ben Carter,Laptop Stand,12,34.99,0.05,Online
2026-08-18,North,Aisha Khan,Wireless Mouse,31,24.99,0.0,Retail
2026-08-18,West,Chloe Martin,USB-C Hub,16,49.5,0.1,Online
2026-08-19,East,Daniel Reed,Wireless Mouse,29,24.99,0.0,Retail
2026-08-19,South,Ben Carter,USB-C Hub,14,49.5,0.0,Retail
2026-08-20,North,Aisha Khan,Laptop Stand,11,34.99,0.05,Online
2026-08-20,West,Chloe Martin,Laptop Stand,7,34.99,0.0,Retail
2026-08-21,East,Daniel Reed,USB-C Hub,18,49.5,0.0,Online
2026-08-21,South,Ben Carter,Wireless Mouse,26,24.99,0.1,Online
2026-08-24,North,Aisha Khan,Wireless Mouse,3,24.99,0.0,Online
2026-08-24,West,Chloe Martin,USB-C Hub,42,49.5,0.0,Retail
2026-08-25,East,Daniel Reed,Laptop Stand,14,34.99,0.5,Online
2026-08-25,South,Ben Carter,Wireless Mouse,25,24.99,0.0,Online
2026-08-26,North,Aisha Khan,USB-C Hub,12,49.5,0.0,Retail
2026-08-26,West,C. Martin,Wireless Mouse,20,24.99,0.0,Online
2026-08-27,East,Daniel Reed,USB-C Hub,17,49.5,0.0,Retail
2026-08-27,South,Ben Carter,Laptop Stand,13,34.99,0.0,Retail
2026-08-28,North,Aisha Khan,Laptop Stand,12,34.99,0.0,Online
2026-08-28,West,Chloe Martin,USB-C Hub,0,49.5,0.0,Online
